Actor Name,Year,Pivotal Year?,Total Receipts ($),H3: Yearly Growth (%),H3a: Rolling Volatility (3-Year Window)
One Nation,2015,No,397914,4.79812904353908,281.29236290290993
One Nation,2016,Yes,1757310,3.416306035977623,70.09969940007146
One Nation,2017,No,1323693,-0.24675043105655803,260.6985053598105
One Nation,2018,No,691230,-0.4778018770213335,218.46221599109703
One Nation,2019,Yes,5367910,6.7657364408373475,411.69811808624564
One Nation,2020,No,307734,-0.9426715425556688,432.2509009180088
One Nation,2022,No,4013715,12.042806449726061,653.0564807186577
One Nation,2023,No,379768,-0.9053824200273313,748.6427988628242
Shooters,2010,No,21050,NA,NA
Shooters,2011,No,30000,0.4251781472684085,NA
Shooters,2012,No,80000,1.6666666666666667,NA
Shooters,2013,No,249711,2.1213875,87.79892699001856
Shooters,2014,No,71313,-0.7144178670543148,152.3052126094545
Shooters,2015,No,79000,0.10779240811633223,145.90171926373498
Shooters,2016,No,90456,0.1450126582278481,48.58044722247366
